engine_load,fuel_blend_percentage,nanoparticle_type,nanoparticle_concentration,injection_pressure,engine_speed,BTE,CO_emissions,NOx_emissions,HC_emissions,CO2_emissions,smoke_opacity
75,4.028551877799846,TiO2,85.01608897674896,180,1500,21.16862214100674,3.9113647797237863,371.6249117505292,217.5487213928975,1014.946795454923,42.08202113673155
100,40.542282513915495,ZnO,27.60829718974364,180,2500,28.02741426199363,3.0802946554167643,382.1371884169192,187.83600197461152,935.3271320213064,46.49296353256218
25,51.6283299197674,ZnO,24.5629446094462,220,1500,27.22950543852609,3.000117884597954,477.1499319734543,184.21444505967727,935.9269604568225,17.366652846985932
75,58.064522590963406,CeO2,77.55852326524014,180,2000,28.26811247912471,3.3575434217694773,457.8672976899082,190.5330721512472,949.9170638578541,34.081064043589116
75,93.59372482485595,CeO2,32.03173559397659,240,2500,30.69168869485519,2.6226214473725302,489.6555285689796,157.55556233942036,844.7097359737335,31.259489055779795
100,67.22506872941946,TiO2,10.25149454383462,180,2500,32.34803240171914,2.6082968334763335,408.273609228436,181.2884595151323,856.9702820618878,39.113543653441866
25,48.1277951219237,CeO2,92.07641517800843,220,2500,24.216817197606982,3.4388853141135294,476.7574106192711,203.07056263081438,981.7663442431923,23.667088924176543
25,80.96750362658894,ZnO,66.06433522297566,220,1000,29.5420143204562,2.6990688149924824,517.5001899992925,167.87235714842595,883.4064080217914,20.890193506585305
75,95.05328209544089,TiO2,50.04439282071466,200,2000,31.7626644445827,3.1801909610194743,480.7785245921196,163.89275823588696,846.544550731734,31.609851205642265
50,2.2066148682290843,CeO2,75.3162859008134,200,1500,20.30942627077666,3.7412243246347625,391.1159736076129,210.2505048156208,1036.6810027350914,34.127460182976854
75,98.25212722560387,TiO2,39.99985598037573,240,2500,34.508179708777305,2.711810966550251,501.25869783814017,154.90684064272062,846.5217377967314,32.463508181390004
75,8.613213906368033,ZnO,95.82994513858759,180,2500,23.698198394663326,4.131598166076813,371.9749991723905,213.37943765614494,1028.9464897046903,42.60668693987802
